ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1-08/01/2012;LADYKIN (IRE) (10.000);3;57,5;3;F. JIMENEZ;MAZANTINNI;A. CARRASCO;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
1-08/01/2012;VIA MEYDAN (IRE) (10.000);4;57,5;3;J.M. SANCHEZ C. (54,5);MALDON;M. DELCHER S.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
1-08/01/2012;BENTAYGA (IRE) (8.000);2;57;3;I. LOPEZ;INSTAGONZA;O. ANAYA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
1-08/01/2012;GALEGO (8.000);7;57;3;J.L. MARTINEZ;YEGUADA GONZALEZ CARO;R. LÓPEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
1-08/01/2012;INDIAN VICTORY (6.000);5;55;3;V. JANACEK;ALISARES;A. SÁNCHEZ. C;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
1-08/01/2012;JUAN DANIEL(6.000);1;55;3;J.L. BORREGO;CARBIAL;Propietario, art. 11 C.de Carr.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
1-08/01/2012;CANELA FINA (6.000);6;53,5;3;E. MELIAN (52);SOÑADOR;Propietario, art. 11 C.de Carr.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2-08/01/2012;MISS CORONITA;9;62;4;I. LOPEZ;BP. SAN MATEO;O. ANAYA;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-08/01/2012;MEARI (ARG);6;61;5;C. FERNANDEZ (59);MI VIEJITA;J. C. FERNÁNDEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-08/01/2012;GREEN NIGHT (IRE);1;58;4;R. RAMOS;LAS AGUILAS;G. VILLARTA;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-08/01/2012;PARTOVIA;7;57;4;V. JANACEK;BOREAL;T. CALLEJO S.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-08/01/2012;CAVALLERIA (GB);4;54;5;F. JIMENEZ (55);CARRERAS INT.;J. L. EYRE;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-08/01/2012;NORTH EAST CORNER (USA);2;54;6;E. MELIAN (52);CASTILLO DE CHARETA;Propietario, art. 11 C.de Carr.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-08/01/2012;ZAMBURIÑA;8;54;4;S. MARTIN;PEREIRA S.A.T;J. C. LOPERA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-08/01/2012;SPECTRUM'S CHILD (IRE);99;53;7;M. GOMES (B. ROJA);LAS AGUILAS;G. VILLARTA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-08/01/2012;EUROBETIS;5;51;6;J.L. MARTINEZ (53,5);LA GOYA;Propietario, art. 11 C.de Carr.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-08/01/2012;XAMURAY;3;51;8;A. GOMEZ (52);BOBBY;I. GOMEZ;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3-08/01/2012;DRACO;4;62;6;SRTA. LOPEZ L., D.;LÓPEZ VALLADARES;D. LÓPEZ. L;13;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;BOREAS;9;60;5;J.L. MARTINEZ;CELSO MENDEZ;M. ÁLVAREZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;LUTHJET;14;59;6;I. LOPEZ;LAS AGUILAS;G. VILLARTA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;SANDOVAL (GB);2;59;6;R. HUAYAS;VADILLO;A. CARRASCO;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;LISSELAN PHAROAH (USA);3;58;5;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;PERFECTAMENTE (GB);12;58;6;R. RAMOS;JOLAM;Propietario, art. 11 C.de Carr.;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;MUNRO'S DRAGON (GB);7;57;4;V. JANACEK;NANINA;J. CALDERÓN;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;NAZARENO HEN (IRE);13;57;4;J.E. JARCOVSKY;DUO;Propietario, art. 11 C.de Carr.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;OLINA;5;56;5;F. JIMENEZ;KINGS RACING;Propietario, art. 11 C.de Carr.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;MASSYAF (IRE);6;56;4;D. DELGADO;ALISARES;A. SÁNCHEZ. C;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;KAYREL;8;55;4;M. GOMES;PINCAL;A. F. SANCHEZ;14;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;DROP RISK (FR);10;55;9;E. MELIAN (53) (B. ROJA);JOLAM;Propietario, art. 11 C.de Carr.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;JUNKAL;11;55;5;J.L. BORREGO;GRAFIMAR;A. F. SANCHEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
3-08/01/2012;PADRON;1;55;4;A. GOMEZ (53);PEREIRA S.A.T;J. C. LOPERA;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4-08/01/2012;DAVAY (USA);8;62;4;J.C. CERQUEIRA;LUIS ALBERTO NUÑEZ;J. A. RODRÍGUEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;SINGAPORE GUY (FR);5;61;6;J.L. MARTINEZ;CELSO MENDEZ;E. GALLARDO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;ALHAPRINCE (IRE);9;60;8;SR. SARABIA, D.;RIO CUBAS;J. C. FERNÁNDEZ;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;EL AFRICANO;3;59;5;R. RAMOS;LAS AGUILAS;G. VILLARTA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;LITERARIO;10;59;4;F. JIMENEZ;LOS ESPARTANOS;J. C. FERNÁNDEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;PRECIADOS (IRE);11;58;6;J.L. BORREGO;RETIRO;M. ÁLVAREZ;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;VODKA LEMON;4;58;4;R. HUAYAS;DOS HERMANOS;A. GUTIÉRREZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;MISSIN;7;57;6;R. NAYLOR (55);KINGS RACING;B. RAMA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;AROUSA;2;56;5;A. GOMEZ (54);PEREIRA S.A.T;J. C. LOPERA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;HEART IN MOTION (IRE);99;56;4;J.E. JARCOVSKY;ANTON;B. RAMA;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;BARATHEA BAY (IRE);6;56;4;J.M. SANCHEZ C. (54);TIZIANO;M. DELCHER S.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;SALTERGATE (GB);1;55;4;I. LOPEZ (56);INSTAGONZA;O. ANAYA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5-08/01/2012;DOMESIDE (GB);1;61;6;J. GROSJEAN;SAFSAF;M. DELCHER S.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;ACHTUNG;2;59;4;V. JANACEK;ENALTO;R. LÓPEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;CALAMARGO (IRE);4;57;5;J.L. BORREGO;JIMENA;A. F. SANCHEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;ILUSIONISTA;99;56;6;A. GOMEZ;ODISEA;I. GOMEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;LE COURLIS (FR);6;56;9;R. RAMOS;EL SWING;B. RECIO;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;RED BARCELONA (IRE);99;56;4;S. MARTIN;CASTILLO DE CHARETA;Propietario, art. 11 C.de Carr.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;SEMINOLE CRY (USA);3;56;7;J.L. MARTINEZ;CARRERAS INTERNATIONAL;J. L. EYRE;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;DON HERNANDO HAB;5;55;4;F. JIMENEZ;GONZALO HERNANDO-ABOIN;A. CARRASCO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;MANLY DREAM (FR);8;54,5;4;R. HUAYAS;INTERNORTE;T. MARTINS;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;VOLCAN CANARIAS (IRE);7;54;4;M. GOMES;GRUPO BOLAÑOS GRAN CANARIA;Propietario, art. 11 C.de Carr.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
