ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1-26-02-2012;MONTEAGUDO EBRO (IRE);3;4;66,5;E. MELIAN (63,5);NANINA;J. CALDERON;6;Hipódromo Costa del Sol.;2100;ARENA
1-26-02-2012;VIVANCO;1;4;62;J.GROSJEAN;Y. CORTIÑAL;J. M. BORREGO R.;5;Hipódromo Costa del Sol.;2100;ARENA
1-26-02-2012;IRAIZOTZ;99;5;59;R. H. HUAYAS;MADELAINE;R. H. HUAYAS;4;Hipódromo Costa del Sol.;2100;ARENA
1-26-02-2012;MILAGRES (GB);2;4;59;O.O.DE URBINA;MAURICIO DELCHER;M.DELCHER S;2;Hipódromo Costa del Sol.;2100;ARENA
1-26-02-2012;MAYERLING(FR);4;4;56;A. GOMEZ (54);ODISEA;I. GOMEZ;7;Hipódromo Costa del Sol.;2100;ARENA
1-26-02-2012;OLINA;5;5;56;J. CROCQUEVIEILLE;KINGS RACING;B. RAMA;1;Hipódromo Costa del Sol.;2100;ARENA
1-26-02-2012;CUÑATAY;6;4;52,5;S. MARTIN (53);GUAYCURU;A. R. ACOSTA;3;Hipódromo Costa del Sol.;2100;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2-26-02-2012;JUAN DANIEL;4;3;59;J.L. BORREGO;JEREZANA;J. CALDERON;4;Hipódromo Costa del Sol.;1600;ARENA
2-26-02-2012;MAKALALI(IRE);1;3;59;I. LOPEZ;MARTEL SANCHEZ;O. ANAYA;3;Hipódromo Costa del Sol.;1600;ARENA
2-26-02-2012;PIPPA SNUDGE(IRE);3;3;57,5;F. LYNCH;SUNSHINE RACING;P. HALEY;1;Hipódromo Costa del Sol.;1600;ARENA
2-26-02-2012;BYRON BABY(IRE);2;3;56;J. CROCQUEVIEILLE;M & K RACING;B. RAMA;5;Hipódromo Costa del Sol.;1600;ARENA
2-26-02-2012;PACIFIC TRADER(GB);99;3;56;F. ALVARADO (57);CASTILLO DE CHARETA;B. RAMA;2;Hipódromo Costa del Sol.;1600;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3-26-02-2012;FIGUEIRA DA FOZ;3;4;62;J. GROSJEAN;LOS TONELES;F. RODRIGUEZ;10;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;LISSELAN PHAROAH (USA);1;5;61;S.MARTIN;LISSELAN FARMS;A. R. ACOSTA;7;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;DON ANDRES(GB);6;4;61;J. CROQUEVIEILLE;ANTON;B. RAMA;1;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;MELODY SOLITAIRE (IRE);7;6;60;R.H.HUAYAS;COURTNEY;J.L.EYRE;11;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;MAJOR DUDE (GB);12;4;59;F. LYNCH;RACHAEL TEASDALE RACING;J. L . EYRE;6;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;BARBECHO;5;4;57;O.O DE URBINA;TIZIANO;R. AON;12;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;EL LOLO(IRE);2;6;56;I. LOPEZ;EL LOBO;O. ANAYA;8;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;MUNRO'S DRAGON(GB);4;4;56;V. JANACEK;NANINA;J. CALDERON;5;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;PERFECTAMENTE(GB);9;6;52;J. M. SANCHEZ C. (50);JOLAM;O. ANAYA;3;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;MIMBRERA;8;4;51;A. GOMEZ (51,5) (B.B.);ANTON;B. RAMA;2;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;CAVALLERIA(GB);11;5;50;E. MELIAN (52);CARRERAS INT;J .L .EYRE;4;Hipódromo Costa del Sol.;1600;ARENA
3-26-02-2012;EUROBETIS;10;6;50;V. SANCHEZ (49);SPANISH BLODSTOCK AGENCY;M. ALVAREZ;9;Hipódromo Costa del Sol.;1600;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
4-26-02-2012;BARKING (IRE);1;4;62;I. LOPEZ;B.P. SAN MATEO;O. ANAYA;9;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;SIDESIDE;6;7;61;J. GROSJEAN;DONDE VAMOS;F. RODRIGUEZ;7;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;SOUTH AFRICAN GOLD(USA);9;5;61;F. ALVARADO;CASTILLO DE CHARETA;B.RAMA;12;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;DAVAY(USA);7;4;60;E. MELIAN (58);LUIS A. NUÑEZ;J. A. RODRIGUEZ;1;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;FEITIZO;2;4;60;V. JANACEK;REZA PAZOOKI;F. RODRIGUEZ;6;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;ALHAPRINCE(IRE);11;8;59;SR. SARABIA D;RIO CUBAS;J. C. FERNANDEZ;11;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;EAGLE CANYON(IRE);8;4;58;J.L. BORREGO;TINERFE;J. CALDERON;10;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;AROUSA;3;5;56;F. LYNCH;PEREIRA S.A.T.;J. C. LOPERA;2;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;PADRON;4;4;56;A. GOMEZ (54) (B.Roja);PEREIRA S.A.T.;J. C. LOPERA;4;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;BARATHEA BAY(IRE);10;4;56;J .M .SANCHEZ C (54);TIZIANO;M. DELCHER S.;5;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;LISSELAN RIGHTCALL(USA);99;8;56;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;3;Hipódromo Costa del Sol.;1600;ARENA
4-26-02-2012;MISSIN;5;6;56;J. CROCQUEVIEILLE;KINGS RACING;B. RAMA;8;Hipódromo Costa del Sol.;1600;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
5-26-02-2012;CAMURAY;6;7;62;F. JIMENEZ A;Y. CORTIÑAL;E. LEON;4;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;COMPTON PARK (GB);3;5;60,5;S. MARTIN;RACHAEL TEASDALE RACING;J.L EYRE;2;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;CORCUBION;7;7;60,5;J. GROSJEAN;PEREIRA S.A.T.;J. C. LOPERA;7;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;BOMBADIL(IRE);4;5;59;A. GOMEZ;JEREZANA;J. CALDERON;5;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;DUNEDAIN(GB);99;4;59;SR. SARABIA . D.;RIO CUBAS;J. C. FERNANDEZ;9;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;VALLE(USA);5;4;59;O.O.DE URBINA;MALDON;M. DELCHER S.;1;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;BAHRAJ (USA);99;5;57,5;F. LYNCH;B.P. SAN MATEO;O. ANAYA;6;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;RAYO NEGRO(IRE);8;5;57,5;V. JANACEK;NANINA;J. CALDERON;8;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;SERGEI (IRE);2;4;57,5;J. CROCQUEVIEILLE;SAN JOSE;J. A. RODRIGUEZ;11;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;FACE THE FACT(SWE);10;10;56;J.E.JARCOVSKY;GABRIELLE VON ECKERMANN;O. ANAYA;13;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;TASHQEEL(GB);1;4;56;I. LOPEZ;SAN ACACIO;O. ANAYA;10;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;BETTY DIBEL (GB);9;4;54,5;J. M. SANCHEZ C.;SOÑADOR;J. C. MARTINEZ;3;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;HIGH CLASS LADY(GB);11;4;54,5;E. MELIAN;CASTILLO DE CHARETA;B. RAMA;12;Hipódromo Costa del Sol.;1200;ARENA
