1_01-08-2013,1,2,3,4.0,0.0,,,,,,,,,,,,,,,
4_15-11-2015,9,8,4,5.0,2.0,6.0,7.0,3.0,1.0,0.0,,,,,,,,,,
4_16-07-2011,2,7,6,3.0,10.0,0.0,5.0,4.0,8.0,9.0,1.0,,,,,,,,,
4_16-09-2012,1,8,9,7.0,0.0,2.0,6.0,3.0,5.0,4.0,,,,,,,,,,
4_16-7-2020,0,4,6,2.0,10.0,11.0,8.0,3.0,1.0,9.0,5.0,7.0,,,,,,,,
4_17-07-2014,4,1,2,8.0,5.0,0.0,7.0,10.0,6.0,3.0,9.0,,,,,,,,,
4_17-08-2012,1,8,2,0.0,5.0,4.0,6.0,9.0,3.0,7.0,,,,,,,,,,
4_17-09-2017,7,11,8,10.0,9.0,1.0,6.0,2.0,4.0,5.0,3.0,0.0,,,,,,,,
4_18-03-2018,10,2,9,3.0,1.0,6.0,8.0,5.0,11.0,7.0,4.0,0.0,,,,,,,,
4_18-08-2013,9,5,0,4.0,6.0,8.0,1.0,7.0,2.0,3.0,,,,,,,,,,
4_18-12-2011,0,5,8,1.0,9.0,3.0,6.0,2.0,4.0,10.0,7.0,,,,,,,,,
4_18-12-2016,8,5,10,4.0,9.0,7.0,2.0,3.0,6.0,1.0,0.0,,,,,,,,,
4_19-01-2020,3,2,0,4.0,8.0,6.0,9.0,7.0,1.0,5.0,,,,,,,,,,
4_19-02-2017,7,9,0,5.0,1.0,2.0,3.0,10.0,4.0,8.0,6.0,,,,,,,,,
4_19-05-2016,7,3,1,5.0,0.0,6.0,8.0,2.0,4.0,,,,,,,,,,,
4_19-06-2011,9,3,4,7.0,2.0,6.0,8.0,1.0,0.0,10.0,5.0,,,,,,,,,
4_19-07-2012,6,5,8,2.0,9.0,4.0,3.0,0.0,1.0,7.0,,,,,,,,,,
4_2-10-2016,5,3,10,9.0,1.0,6.0,0.0,7.0,4.0,2.0,8.0,,,,,,,,,
4_20-01-2013,2,6,4,0.0,5.0,1.0,3.0,8.0,7.0,9.0,,,,,,,,,,
4_20-05-2012,5,7,9,2.0,11.0,0.0,8.0,3.0,4.0,6.0,1.0,10.0,,,,,,,,
4_21-07-2011,3,9,1,7.0,5.0,6.0,4.0,11.0,2.0,10.0,0.0,8.0,,,,,,,,
4_21-07-2012,3,6,2,8.0,9.0,4.0,7.0,0.0,5.0,1.0,,,,,,,,,,
4_21-08-2016,1,8,4,5.0,0.0,9.0,6.0,3.0,7.0,2.0,,,,,,,,,,
4_22-01-2012,5,9,0,1.0,10.0,3.0,4.0,7.0,2.0,8.0,6.0,,,,,,,,,
4_22-08-2013,1,9,2,4.0,6.0,3.0,10.0,11.0,5.0,8.0,7.0,0.0,,,,,,,,
4_23-05-2019,8,5,9,7.0,6.0,1.0,0.0,2.0,3.0,4.0,,,,,,,,,,
4_23-05-2021,6,9,4,5.0,7.0,3.0,1.0,2.0,8.0,11.0,10.0,0.0,,,,,,,,
4_23-06-2021,2,0,7,4.0,8.0,3.0,9.0,6.0,1.0,10.0,11.0,5.0,,,,,,,,
4_23-10-2016,8,6,2,1.0,0.0,3.0,5.0,9.0,4.0,7.0,,,,,,,,,,
4_23-10-2020,8,4,10,2.0,7.0,11.0,0.0,6.0,1.0,5.0,3.0,9.0,,,,,,,,
4_23-11-2014,5,4,3,7.0,1.0,8.0,6.0,0.0,2.0,,,,,,,,,,,
4_23-12-12,6,3,9,10.0,2.0,5.0,0.0,7.0,4.0,1.0,8.0,,,,,,,,,
4_24-03-2019,7,4,2,6.0,9.0,5.0,8.0,1.0,3.0,0.0,,,,,,,,,,
4_24-04-2016,4,8,10,6.0,2.0,0.0,1.0,9.0,3.0,7.0,5.0,,,,,,,,,
4_24-09-2017,0,2,6,4.0,10.0,3.0,9.0,8.0,1.0,7.0,5.0,,,,,,,,,
4_24-09-2020,5,2,3,6.0,4.0,1.0,0.0,7.0,,,,,,,,,,,,
4_25-04-2021,10,1,5,6.0,9.0,0.0,2.0,3.0,4.0,7.0,8.0,,,,,,,,,
4_25-05-2014,7,5,0,1.0,8.0,3.0,4.0,2.0,6.0,,,,,,,,,,,
4_25-07-2013,5,7,1,9.0,10.0,6.0,4.0,0.0,3.0,8.0,2.0,,,,,,,,,
4_26-01-2014,10,7,8,6.0,5.0,4.0,1.0,3.0,9.0,2.0,0.0,,,,,,,,,
4_26-02-2017,9,4,1,5.0,8.0,2.0,3.0,6.0,7.0,0.0,,,,,,,,,,
4_26-03-2021,2,7,4,0.0,5.0,9.0,6.0,8.0,1.0,3.0,,,,,,,,,,
4_26-06-2011,4,2,0,7.0,6.0,1.0,11.0,3.0,9.0,10.0,5.0,8.0,,,,,,,,
4_26-08-2011,4,8,1,10.0,3.0,0.0,7.0,5.0,9.0,2.0,6.0,,,,,,,,,
4_26-10-2014,9,1,2,7.0,5.0,8.0,10.0,3.0,4.0,0.0,6.0,,,,,,,,,
4_27-11-2016,3,1,4,7.0,2.0,0.0,6.0,8.0,5.0,,,,,,,,,,,
4_27-11-2020,4,6,7,3.0,1.0,2.0,9.0,0.0,5.0,8.0,,,,,,,,,,
4_28-06-2012,1,8,6,5.0,4.0,9.0,0.0,11.0,3.0,2.0,10.0,7.0,,,,,,,,
4_28-07-2012,9,1,2,7.0,0.0,6.0,3.0,5.0,4.0,8.0,,,,,,,,,,
4_28-10-2012,3,4,10,7.0,0.0,8.0,2.0,9.0,1.0,6.0,11.0,5.0,,,,,,,,
4_29-04-2011,6,4,7,9.0,8.0,3.0,5.0,0.0,2.0,1.0,,,,,,,,,,
4_29-04-2012,8,7,5,4.0,2.0,0.0,6.0,9.0,3.0,1.0,10.0,,,,,,,,,
4_29-05-2016,6,2,8,7.0,10.0,3.0,0.0,4.0,9.0,5.0,1.0,,,,,,,,,
4_29-07-2018,8,0,10,2.0,1.0,3.0,6.0,9.0,4.0,7.0,5.0,,,,,,,,,
4_29-08-2016,4,7,5,1.0,3.0,8.0,10.0,6.0,0.0,9.0,2.0,,,,,,,,,
4_29-12-2013,4,9,8,0.0,3.0,7.0,1.0,5.0,10.0,11.0,6.0,2.0,,,,,,,,
4_3-12-2017,0,7,10,6.0,2.0,9.0,4.0,5.0,3.0,1.0,8.0,,,,,,,,,
4_30-03-2014,3,1,6,9.0,4.0,8.0,7.0,2.0,5.0,0.0,,,,,,,,,,
4_30-06-2012,10,1,6,7.0,5.0,3.0,0.0,4.0,9.0,2.0,8.0,,,,,,,,,
4_30-08-2012,1,5,2,8.0,4.0,3.0,0.0,7.0,9.0,6.0,,,,,,,,,,
4_30-10-2011,3,1,7,2.0,4.0,6.0,9.0,0.0,5.0,11.0,8.0,10.0,,,,,,,,
4_30-10-2016,11,9,7,10.0,0.0,2.0,4.0,6.0,3.0,1.0,8.0,5.0,,,,,,,,
4_31-03-2019,6,7,1,2.0,0.0,5.0,8.0,11.0,3.0,9.0,10.0,4.0,,,,,,,,
4_31-07-2011,10,9,1,4.0,5.0,6.0,8.0,0.0,2.0,7.0,3.0,,,,,,,,,
4_4-07-2019,1,6,7,5.0,3.0,8.0,2.0,0.0,9.0,4.0,,,,,,,,,,
4_4-11-2018,2,8,4,9.0,5.0,10.0,6.0,7.0,3.0,0.0,1.0,,,,,,,,,
4_5-02-2012,8,3,0,4.0,2.0,10.0,6.0,7.0,9.0,11.0,5.0,1.0,,,,,,,,
4_7-07-2014,2,3,4,8.0,9.0,7.0,6.0,0.0,5.0,1.0,,,,,,,,,,
4_7-07-2016,0,6,4,9.0,1.0,2.0,7.0,3.0,8.0,10.0,5.0,,,,,,,,,
4_7-09-2014,3,5,10,7.0,4.0,2.0,8.0,6.0,1.0,0.0,9.0,,,,,,,,,
4_8-03-2020,6,7,1,2.0,0.0,5.0,8.0,9.0,4.0,3.0,,,,,,,,,,
4_9-04-2017,6,8,3,4.0,5.0,2.0,0.0,9.0,1.0,7.0,,,,,,,,,,
4_9-10-2016,8,10,6,5.0,9.0,7.0,1.0,3.0,2.0,11.0,4.0,0.0,,,,,,,,
5_01-08-2013,5,0,7,1.0,3.0,8.0,9.0,4.0,2.0,6.0,,,,,,,,,,
5_02-07-2011,0,2,9,3.0,8.0,7.0,4.0,1.0,6.0,5.0,,,,,,,,,,
5_02-11-2014,6,5,0,4.0,3.0,1.0,2.0,,,,,,,,,,,,,
5_03-07-2016,6,1,3,2.0,5.0,4.0,0.0,,,,,,,,,,,,,
5_03-10-2014,2,6,4,1.0,5.0,0.0,3.0,,,,,,,,,,,,,
5_04-09-2011,5,4,1,2.0,3.0,0.0,,,,,,,,,,,,,,
5_04-10-2015,4,2,5,1.0,0.0,3.0,,,,,,,,,,,,,,
5_04-12-2011,2,4,1,3.0,0.0,,,,,,,,,,,,,,,
5_05-07-2020,8,10,12,11.0,3.0,2.0,9.0,5.0,4.0,0.0,7.0,6.0,13.0,1.0,,,,,,
5_05-09-2013,0,2,7,9.0,3.0,4.0,8.0,6.0,1.0,5.0,,,,,,,,,,
5_05-11-2015,2,1,6,0.0,4.0,3.0,5.0,,,,,,,,,,,,,
5_06-08-12,1,0,3,4.0,5.0,2.0,,,,,,,,,,,,,,
5_06-12-2015,0,5,1,6.0,2.0,3.0,4.0,,,,,,,,,,,,,
5_07-07-2011,5,8,2,3.0,7.0,0.0,9.0,4.0,1.0,6.0,,,,,,,,,,
5_08-01-2012,2,7,5,4.0,0.0,3.0,6.0,1.0,,,,,,,,,,,,
5_08-05-2016,6,3,4,1.0,5.0,2.0,0.0,,,,,,,,,,,,,
5_09-03-2014,1,0,6,2.0,3.0,4.0,5.0,,,,,,,,,,,,,
5_09-11-2017,1,0,2,3.0,5.0,4.0,,,,,,,,,,,,,,
5_1-09-2013,0,1,4,3.0,2.0,,,,,,,,,,,,,,,
5_10-04-2016,8,11,5,6.0,7.0,10.0,9.0,4.0,0.0,3.0,2.0,1.0,,,,,,,,
5_10-06-2012,3,2,9,5.0,0.0,6.0,1.0,7.0,8.0,4.0,,,,,,,,,,
5_10-08-2012,0,2,3,4.0,1.0,,,,,,,,,,,,,,,
5_10-08-2014,8,1,7,0.0,2.0,3.0,5.0,4.0,6.0,,,,,,,,,,,
5_10-09-2016,2,1,3,4.0,0.0,,,,,,,,,,,,,,,
5_11-07-2013,7,0,8,4.0,9.0,2.0,1.0,3.0,6.0,5.0,,,,,,,,,,
5_11-07-2016,0,5,2,4.0,3.0,1.0,,,,,,,,,,,,,,
5_11-08-2016,9,3,4,2.0,1.0,6.0,7.0,8.0,0.0,5.0,,,,,,,,,,
5_11-09-2011,5,6,3,2.0,0.0,1.0,4.0,,,,,,,,,,,,,
5_12-05-2019,5,4,3,2.0,6.0,8.0,7.0,1.0,0.0,,,,,,,,,,,
5_12-06-2011,4,0,3,13.0,1.0,11.0,6.0,10.0,8.0,14.0,9.0,7.0,2.0,12.0,5.0,,,,,
5_12-07-2020,2,8,7,1.0,3.0,4.0,5.0,0.0,6.0,,,,,,,,,,,
5_12-08-2011,7,4,3,2.0,8.0,1.0,0.0,5.0,6.0,,,,,,,,,,,
5_12-08-2018,4,10,3,5.0,2.0,11.0,9.0,1.0,7.0,6.0,0.0,8.0,,,,,,,,
5_13-01-2013,4,0,1,2.0,3.0,,,,,,,,,,,,,,,
5_13-04-2014,10,4,2,1.0,5.0,9.0,3.0,6.0,8.0,0.0,7.0,,,,,,,,,
5_13-07-2014,11,2,7,0.0,3.0,4.0,5.0,9.0,8.0,1.0,12.0,10.0,6.0,,,,,,,
5_13-11-2020,6,3,4,0.0,2.0,5.0,1.0,7.0,8.0,,,,,,,,,,,
5_14-05-2017,2,5,4,3.0,6.0,1.0,0.0,,,,,,,,,,,,,
5_14-07-2012,5,3,4,0.0,2.0,1.0,,,,,,,,,,,,,,
5_15-08-2015,8,2,9,4.0,13.0,3.0,1.0,11.0,7.0,5.0,10.0,6.0,12.0,0.0,,,,,,
5_15-11-2015,4,8,5,6.0,3.0,2.0,1.0,0.0,7.0,,,,,,,,,,,
5_15-12-2013,2,0,3,1.0,4.0,,,,,,,,,,,,,,,
5_16-02-2014,4,1,5,2.0,6.0,0.0,3.0,,,,,,,,,,,,,
5_16-04-2017,4,6,3,13.0,7.0,14.0,2.0,9.0,5.0,1.0,12.0,0.0,8.0,10.0,11.0,,,,,
5_16-05-2021,2,9,10,5.0,4.0,3.0,6.0,8.0,7.0,0.0,1.0,,,,,,,,,
5_16-07-2011,1,2,3,4.0,0.0,5.0,,,,,,,,,,,,,,
5_16-09-2012,4,0,5,3.0,1.0,2.0,6.0,,,,,,,,,,,,,
5_16-10-2016,3,1,5,6.0,0.0,2.0,4.0,,,,,,,,,,,,,
5_16-7-2020,1,12,3,7.0,11.0,8.0,5.0,9.0,13.0,6.0,10.0,4.0,2.0,0.0,,,,,,
5_17-06-2012,4,3,6,2.0,5.0,7.0,8.0,9.0,1.0,0.0,,,,,,,,,,
5_17-08-2012,1,2,7,6.0,4.0,0.0,3.0,5.0,,,,,,,,,,,,
5_17-09-2020,9,6,10,2.0,8.0,0.0,3.0,4.0,1.0,5.0,7.0,11.0,,,,,,,,
5_18-03-2018,2,7,6,4.0,0.0,3.0,8.0,9.0,1.0,5.0,,,,,,,,,,
5_18-09-2011,0,7,1,3.0,5.0,8.0,6.0,4.0,2.0,,,,,,,,,,,
5_18-09-2016,4,2,7,3.0,9.0,6.0,8.0,1.0,0.0,5.0,,,,,,,,,,
5_18-12-2011,2,4,3,6.0,5.0,0.0,1.0,,,,,,,,,,,,,
5_19-02-2012,1,8,5,10.0,2.0,9.0,0.0,4.0,7.0,3.0,6.0,,,,,,,,,
5_19-06-2011,9,8,0,2.0,6.0,3.0,4.0,7.0,5.0,1.0,,,,,,,,,,
5_2-06-2017,3,6,2,4.0,1.0,7.0,5.0,0.0,8.0,,,,,,,,,,,
5_20-07-2017,3,1,6,5.0,4.0,0.0,7.0,2.0,,,,,,,,,,,,
5_20-11-2016,1,6,5,2.0,3.0,0.0,4.0,7.0,,,,,,,,,,,,
5_21-07-2012,0,3,1,2.0,4.0,,,,,,,,,,,,,,,
5_21-07-2013,2,5,1,0.0,4.0,3.0,,,,,,,,,,,,,,
5_21-08-2014,2,3,0,1.0,4.0,,,,,,,,,,,,,,,
5_21-10-2012,9,4,5,1.0,2.0,10.0,6.0,0.0,8.0,3.0,7.0,,,,,,,,,
5_22-04-2011,1,5,7,3.0,2.0,6.0,8.0,4.0,0.0,,,,,,,,,,,
5_22-09-2013,4,9,2,3.0,7.0,5.0,1.0,0.0,10.0,11.0,6.0,8.0,,,,,,,,
5_22-12-2013,5,6,0,1.0,7.0,2.0,4.0,3.0,,,,,,,,,,,,
5_23-07-2011,4,7,3,1.0,6.0,5.0,0.0,2.0,,,,,,,,,,,,
5_23-08-2012,3,6,5,1.0,0.0,4.0,7.0,2.0,,,,,,,,,,,,
5_23-10-2011,2,5,6,0.0,1.0,3.0,4.0,,,,,,,,,,,,,
5_23-10-2020,2,6,7,3.0,4.0,1.0,5.0,0.0,,,,,,,,,,,,
5_24-05-2018,4,2,1,3.0,5.0,0.0,,,,,,,,,,,,,,
5_24-11-2016,3,2,4,7.0,5.0,6.0,0.0,1.0,,,,,,,,,,,,
5_24-12-2011,3,4,0,1.0,2.0,,,,,,,,,,,,,,,
5_25-04-2021,6,5,1,2.0,8.0,0.0,3.0,4.0,7.0,,,,,,,,,,,
5_25-05-2014,7,0,6,5.0,8.0,9.0,4.0,3.0,2.0,1.0,,,,,,,,,,
5_25-05-2017,4,7,3,2.0,5.0,6.0,1.0,0.0,,,,,,,,,,,,
5_25-07-2013,7,5,3,2.0,13.0,1.0,11.0,0.0,10.0,12.0,8.0,9.0,6.0,4.0,,,,,,
5_25-09-2016,9,3,8,1.0,7.0,6.0,4.0,2.0,0.0,5.0,,,,,,,,,,
5_26-01-2014,3,4,0,6.0,2.0,7.0,1.0,5.0,,,,,,,,,,,,
5_26-08-2011,5,7,3,0.0,4.0,1.0,6.0,8.0,2.0,,,,,,,,,,,
5_26-08-2018,4,0,2,3.0,1.0,,,,,,,,,,,,,,,
5_26-09-2014,2,0,1,,,,,,,,,,,,,,,,,
5_26-11-2015,5,3,2,0.0,1.0,4.0,,,,,,,,,,,,,,
5_27-05-2012,3,6,1,7.0,0.0,8.0,2.0,9.0,5.0,4.0,10.0,,,,,,,,,
5_27-08-2012,2,0,1,3.0,,,,,,,,,,,,,,,,
5_27-11-2016,5,0,2,1.0,3.0,4.0,6.0,,,,,,,,,,,,,
5_27-11-2020,5,2,0,1.0,3.0,6.0,4.0,7.0,,,,,,,,,,,,
5_28-03-2021,0,3,1,2.0,4.0,,,,,,,,,,,,,,,
5_28-06-2013,4,2,5,3.0,0.0,1.0,6.0,,,,,,,,,,,,,
5_28-08-2011,5,2,7,1.0,4.0,6.0,0.0,3.0,8.0,,,,,,,,,,,
5_28-10-2012,5,0,6,3.0,1.0,4.0,7.0,2.0,,,,,,,,,,,,
5_29-04-2012,0,1,5,2.0,4.0,3.0,,,,,,,,,,,,,,
5_29-07-2011,3,5,8,9.0,7.0,1.0,4.0,2.0,0.0,6.0,,,,,,,,,,
5_29-08-2013,7,1,4,0.0,3.0,2.0,6.0,5.0,,,,,,,,,,,,
5_29-08-2016,4,1,0,2.0,3.0,,,,,,,,,,,,,,,
5_29-11-2015,6,4,2,3.0,1.0,0.0,5.0,,,,,,,,,,,,,
5_3-06-2016,4,3,5,2.0,0.0,6.0,1.0,,,,,,,,,,,,,
5_30-05-2014,6,4,1,0.0,5.0,3.0,2.0,,,,,,,,,,,,,
5_30-06-2011,2,0,3,8.0,1.0,6.0,5.0,9.0,7.0,13.0,12.0,10.0,11.0,4.0,,,,,,
5_30-06-2012,5,0,3,6.0,4.0,1.0,2.0,,,,,,,,,,,,,
5_30-09-2012,5,2,3,6.0,7.0,1.0,0.0,4.0,,,,,,,,,,,,
5_30-10-2011,5,4,1,0.0,2.0,3.0,6.0,7.0,,,,,,,,,,,,
5_30-12-2020,10,0,8,5.0,14.0,2.0,9.0,12.0,6.0,3.0,4.0,1.0,13.0,11.0,7.0,,,,,
5_31-03-2019,6,5,1,0.0,7.0,2.0,8.0,9.0,4.0,3.0,,,,,,,,,,
5_31-08-2015,5,1,0,2.0,3.0,4.0,,,,,,,,,,,,,,
5_4-07-2019,2,3,4,1.0,0.0,,,,,,,,,,,,,,,
5_7-07-2016,2,1,0,6.0,7.0,4.0,3.0,5.0,8.0,,,,,,,,,,,
5_8-03-2020,5,1,6,0.0,4.0,2.0,3.0,,,,,,,,,,,,,
5_9-04-2017,0,12,4,9.0,5.0,7.0,8.0,3.0,13.0,11.0,2.0,10.0,1.0,6.0,,,,,,
5_9-10-2016,2,13,5,3.0,10.0,7.0,12.0,11.0,9.0,8.0,4.0,1.0,6.0,0.0,,,,,,
6_26-10-2014,4,1,5,6.0,3.0,0.0,2.0,,,,,,,,,,,,,
7_26-10-2014,5,6,9,11.0,4.0,10.0,0.0,1.0,7.0,2.0,8.0,3.0,,,,,,,,
